"YEAR","DECJAN","JANFEB","FEBMAR","MARAPR","APRMAY","MAYJUN","JUNJUL","JULAUG","AUGSEP","SEPOCT","OCTNOV","NOVDEC"
1917,-1.915,-1.764,-1.606,-1.572,-1.745,-1.713,-1.127,-0.967,-1.093,-1.116,-1.127,-1.202
1918,-1.328,-1.138,-0.949,-0.787,-0.574,-0.055,1.046,1.479,1.052,0.969,1.051,1.158
1919,1.527,1.753,1.538,1.083,1.026,1.279,1.224,1.151,0.995,0.81,0.5,0.145
1920,0.265,0.564,0.663,0.567,0.347,0.248,-0.197,-0.342,-0.235,-0.3,-0.054,0.037
1921,0.034,-0.052,-0.638,-1.124,-0.834,-0.578,-0.605,-0.563,-0.595,-0.617,-0.368,-0.296
1922,-0.483,-0.565,-0.365,-0.044,0.029,-0.223,-0.492,-0.401,-0.37,-0.506,-0.465,-0.691
1923,-0.838,-0.623,-0.517,-0.528,-0.41,-0.035,0.494,0.788,0.895,0.92,1.021,0.929
1924,0.664,0.409,0.124,-0.216,-0.685,-1.093,-1.244,-1.448,-1.458,-0.996,-0.845,-0.956
1925,-0.954,-0.79,-0.482,-0.134,0.048,0.025,0.217,0.802,1.286,1.511,1.511,1.588
1926,1.407,1.35,1.602,1.71,1.33,1.06,1.067,0.685,0.179,-0.03,-0.025,-0.001
1927,0.014,0.158,0.193,-0.274,-0.399,-0.239,-0.405,-0.195,0.162,0.206,0.376,0.343
1928,0.312,0.476,0.346,-0.001,-0.131,0.071,0.346,0.06,-0.471,-0.466,-0.296,-0.161
1929,-0.064,-0.054,-0.189,-0.237,0.076,0.418,0.557,0.734,0.845,0.677,0.459,0.468
1930,0.506,0.552,0.767,1.038,1.199,1.054,1.143,1.395,1.507,1.652,1.723,1.925
1931,1.915,1.855,1.955,1.905,1.496,0.877,0.425,0.262,0.172,0.179,0.248,0.197
1932,0.187,0.276,0.485,0.787,0.964,0.998,1.114,1.025,0.483,-0.05,-0.147,-0.023
1933,-0.059,-0.126,-0.396,-0.497,-0.388,-0.671,-0.769,-0.827,-1.014,-1.001,-0.987,-1.093
1934,-1.251,-1.214,-1.007,-0.651,-0.246,-0.074,-0.133,-0.174,0.037,0.114,-0.084,-0.141
1935,-0.197,-0.331,-0.511,-0.508,-0.11,0.096,-0.055,0.017,0.322,0.412,0.364,0.372
1936,0.193,0.156,0.319,0.44,0.513,0.474,0.292,0.249,0.206,0.138,0.258,0.361
1937,0.34,0.206,0.218,0.082,-0.13,-0.277,-0.292,-0.071,0.186,0.26,0.157,-0.081
1938,-0.277,-0.408,-0.477,-0.68,-0.971,-1.035,-1.25,-1.392,-1.198,-0.787,-0.595,-0.714
1939,-0.786,-0.824,-0.979,-0.93,-0.433,0.033,0.269,0.579,0.877,0.715,0.313,0.313
1940,0.658,0.921,1.163,1.419,1.441,1.419,1.352,1.119,0.988,0.965,0.873,0.967
1941,1.35,1.55,1.793,2.07,2.269,2.001,1.496,1.522,1.514,1.435,1.629,1.605
1942,1.324,1.029,0.87,0.798,0.41,-0.262,-0.706,-0.879,-0.908,-0.968,-1.089,-1.165
1943,-1.257,-1.166,-0.846,-0.463,-0.004,0.375,0.504,0.145,-0.179,-0.363,-0.428,-0.347
1944,-0.289,-0.035,0.22,0.258,0.239,0.161,0.108,0.029,-0.257,-0.273,-0.256,-0.425
1945,-0.395,-0.41,-0.471,-0.425,-0.193,0.024,-0.362,-0.645,-0.462,-0.01,0.234,-0.018
1946,-0.213,-0.247,-0.223,-0.158,-0.214,-0.193,-0.072,-0.043,0.141,0.36,0.33,0.212
1947,0.197,0.111,-0.116,-0.301,-0.382,-0.157,-0.177,-0.476,-0.633,-0.67,-0.541,-0.406
1948,-0.063,0.326,0.606,0.569,0.259,0.18,0.067,-0.042,-0.027,-0.083,-0.279,-0.175
1949,0.066,-0.063,-0.252,-0.133,0.194,0.007,-0.519,-0.698,-0.611,-0.726,-0.957,-0.924
1950,-0.941,-1.131,-1.347,-1.377,-1.282,-1.232,-1.538,-1.797,-1.433,-1.03,-1.109,-1.378
1951,-1.264,-1.18,-1.176,-0.795,-0.13,0.382,0.782,1.116,1.233,1.04,0.867,0.738
1952,0.613,0.565,0.449,0.437,0.434,0.017,-0.303,-0.251,0.004,0.178,-0.035,-0.119
1953,0.154,0.403,0.59,0.69,0.758,0.581,0.31,0.447,0.778,0.568,0.104,0.138
1954,0.103,-0.137,-0.024,0.137,-0.065,-0.419,-0.838,-1.041,-0.962,-0.954,-1.049,-1.155
1955,-0.955,-0.858,-1.147,-1.292,-1.497,-1.887,-1.749,-1.543,-1.647,-1.96,-2.081,-1.965
1956,-1.763,-1.614,-1.532,-1.329,-1.366,-1.538,-1.371,-0.898,-0.754,-0.95,-1.076,-0.947
1957,-0.736,-0.387,0.049,0.41,0.792,1.371,1.628,1.551,1.436,1.152,1.157,1.312
1958,1.478,1.549,1.505,1.38,1.5,1.602,1.419,1.02,0.604,0.424,0.373,0.534
1959,0.639,0.747,0.86,0.748,0.797,0.864,0.549,0.308,0.232,0.142,0.048,-0.125
1960,-0.07,0.073,0.106,0.167,0.177,0.071,-0.078,-0.303,-0.253,-0.256,-0.286,-0.197
1961,-0.011,0.016,-0.065,0.156,0.273,0.193,0.087,0.108,0.006,-0.396,-0.508,-0.526
1962,-0.894,-0.891,-0.434,-0.436,-0.975,-0.894,-0.408,-0.408,-0.534,-0.59,-0.616,-0.3
1963,-0.371,-0.579,-0.461,-0.233,0.037,0.232,0.508,0.91,1.059,1.11,1.07,0.974
1964,0.933,0.73,0.25,-0.349,-0.827,-1.093,-1.277,-1.289,-1.191,-1.171,-1.059,-0.895
1965,-0.66,-0.333,-0.132,0.076,0.519,1.025,1.363,1.731,1.73,1.42,1.523,1.726
1966,1.682,1.526,1.213,0.889,0.823,0.648,0.357,0.264,0.076,-0.05,0.07,0.023
1967,-0.208,-0.501,-0.753,-0.727,-0.55,-0.582,-0.741,-0.828,-0.837,-0.785,-0.591,-0.372
1968,-0.456,-0.62,-0.658,-0.759,-0.733,-0.525,-0.544,-0.338,0.204,0.619,0.726,0.655
1969,0.755,1.04,1.027,0.941,1.092,1.219,1.077,0.906,0.857,0.831,0.76,0.744
