carrier,date, premium 
FOREMOST,12/1/2014,972
FOREMOST,12/1/2014,669
FOREMOST,12/1/2014,1265
FOREMOST,12/1/2014,731
FOREMOST,12/1/2014,952
FOREMOST,12/1/2014,2711
FOREMOST,12/1/2014,708
FOREMOST,12/1/2014,469
FOREMOST,12/1/2014,1755
FOREMOST,12/1/2014,840
PLYMOUTH ROCK,12/1/2014,829
PLYMOUTH ROCK,12/1/2014,1046
PLYMOUTH ROCK,12/1/2014,933
PLYMOUTH ROCK,12/1/2014,768
PLYMOUTH ROCK,12/1/2014,574
PLYMOUTH ROCK,12/1/2014,515
THE GENERAL,12/1/2014,257
THE GENERAL,12/1/2014,815
THE GENERAL,12/1/2014,2739
THE GENERAL,12/1/2014,472
THE GENERAL,12/1/2014,465
THE GENERAL,12/1/2014,875
SAFECO,12/1/2014,1155
SAFECO,12/1/2014,216
SAFECO,12/1/2014,727
SAFECO,12/1/2014,267
SAFECO,12/1/2014,122
SAFECO,12/1/2014,967
THE GENERAL,12/1/2014,1209
THE GENERAL,12/1/2014,1718
THE GENERAL,12/1/2014,1243
THE GENERAL,12/1/2014,1215
THE GENERAL,12/1/2014,1140
THE GENERAL,12/1/2014,942
THE GENERAL,12/1/2014,2136
THE GENERAL,12/1/2014,844
THE GENERAL,12/1/2014,281
THE GENERAL,12/1/2014,1187
MERCURY,12/1/2014,845
MERCURY,12/1/2014,488
MERCURY,12/1/2014,334
MERCURY,12/1/2014,821
MERCURY,12/1/2014,255
MERCURY,12/1/2014,291
MERCURY,12/1/2014,1281
MERCURY,12/1/2014,604
MERCURY,12/1/2014,1072
MERCURY,12/1/2014,916
MERCURY,12/1/2014,226
MERCURY,12/1/2014,384
MERCURY,12/1/2014,224
MERCURY,12/1/2014,618
MERCURY,12/1/2014,507
MERCURY,12/1/2014,819
MERCURY,12/1/2014,1326
MERCURY,12/1/2014,381
MERCURY,12/1/2014,1591
MERCURY,12/1/2014,787
MERCURY,12/1/2014,387
MERCURY,12/1/2014,389
MERCURY,12/1/2014,590
MERCURY,12/1/2014,764
MERCURY,12/1/2014,604
MERCURY,12/1/2014,553
MERCURY,12/1/2014,297
MERCURY,12/1/2014,794
MERCURY,12/1/2014,480
MERCURY,12/1/2014,1055
MERCURY,12/1/2014,684
MERCURY,12/1/2014,896
MERCURY,12/1/2014,369
SAFECO,12/1/2014,1379.97
SAFECO,12/1/2014,2720
SAFECO,12/1/2014,1660.7
SAFECO,12/1/2014,630
SAFECO,12/1/2014,622.5
SAFECO,12/1/2014,723
SAFECO,12/1/2014,577.8
SAFECO,12/1/2014,1726.5
SAFECO,12/1/2014,3302.86
SAFECO,12/1/2014,480
SAFECO,12/1/2014,866.3
SAFECO,12/1/2014,889.2
SAFECO,12/1/2014,1006.66
SAFECO,12/1/2014,1387
SAFECO,12/1/2014,621.4
SAFECO,12/1/2014,667.7
SAFECO,12/1/2014,980.6
SAFECO,12/1/2014,450
SAFECO,12/1/2014,782.6
SAFECO,12/1/2014,1849.8
SAFECO,12/1/2014,964
SAFECO,12/1/2014,780.2
SAFECO,12/1/2014,930
SAFECO,12/1/2014,755
SAFECO,12/1/2014,1256
SAFECO,12/1/2014,2100
SAFECO,12/1/2014,2487.8
SAFECO,12/1/2014,785.9
SAFECO,12/1/2014,1667.48
SAFECO,12/1/2014,929.5
SAFECO,12/1/2014,1081
SAFECO,12/1/2014,813.1
SAFECO,12/1/2014,385.6
SAFECO,12/1/2014,819
SAFECO,12/1/2014,1094.9
SAFECO,12/1/2014,527
SAFECO,12/1/2014,857
SAFECO,12/1/2014,997
SAFECO,12/1/2014,1107.8
SAFECO,12/1/2014,1081.9
SAFECO,12/1/2014,2898
SAFECO,12/1/2014,1111.9
SAFECO,12/1/2014,1182
SAFECO,12/1/2014,1000.9
SAFECO,12/1/2014,3124.8
