Date,AK,AL,AR,AZ,CA,CO,CT,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NA,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VT,WA,WI,WV
9/23/2014,,294.94875,170.285,419.602,56.29,191.6516667,244.356,270.575,288.8116667,,,,179.6,140.172,251.005,,,,,,267.44,243.17125,230.9533333,,287.21,,,364.088,170.8133333,,256.0771429,258.0073333,220.9066667,220,232.5976923,,211.8436842,167.4716667,349.1157778,262.16,328.9706667,,174.1577778,203.06,267.32
9/24/2014,,183.339375,213.355,344.1583333,153.0066667,239.7745455,248.335625,305.764,204.4343478,,,22.89,130.784,247.3028571,665.4,,,,,,352.885,361.782,328.835,,124.69,,,354.9923077,166.525,,257.34375,190.1411111,170.0466667,250.49,271.4194118,,248.4875,242.9145455,284.7692593,262.5783333,465.4666667,,246.49,116.715,155.895
9/25/2014,,196.10875,338.732,171.5333333,168.175,275.3244444,223.6323077,618.74,259.8976471,,38.47,,172,334.595,288.54,,,,,,566.77,206.02,238.1433333,,,,,434.035,,,331.8327586,205.7696296,225.2475,379.075,226.7110526,,243.1966667,235.8877778,295.9404,193.24,310.1614286,,164.3225,470.13,310.3466667
9/26/2014,,306.4476471,243.99,178.2933333,216.81,261.6414286,310.743,210.198,240.9018182,,,,183.4488889,159.42,278.35,,,,,,228.9533333,245.1327273,258.632,,50.04,,,372.0438095,319.57,,213.4459259,231.5708333,154.548,297.8257143,286.6905263,,242.1173333,137.6811111,250.8173214,211.8125,341.295,,271.224,50.54,103.3533333
9/27/2014,,336.42,121.98,458.9533333,181.93,,662.745,,220,,,,,,,,,,,,383.505,173.965,241.835,,,,,241.91,,,268.835,167.7983333,,220,175.684,,479.96,96.7,295.1130435,104.22,421.97,,219.685,97.95,370.845
9/29/2014,,313.9557143,287.024,276.8966667,308.035,189.4625,376.1869231,289.2,250.1254167,,,475,156.705,276.37,601.01,,,,,187.17,267.505,265.00125,268.7688889,,19.81,,79.15,394.872,186.2633333,,216.7809524,195.934,118.5933333,266.88,274.2147059,,259.6473333,159.5654545,280.7439286,272.5,254.375,,168.225,212.45,
9/30/2014,,274.16125,332.8075,115.09,220,211.1211111,247.84,240.0116667,226.2151613,,,,170.454,309.315,114,,,,,,293.2225,271.865,240.4983333,,106.45,,,432.4830435,412.08,,302.2213793,199.7263636,279.395,200.3323077,217.115,,378.9764286,147.01,269.2953846,220,234.705,,299.888,330.48,298.43
10/1/2014,,183.01375,325.0885714,217.3,220,284.585,218.7553333,422.664,207.2444444,,,,151.0333333,195.0183333,,,,,,206.1,176.61,300.5566667,259.668,,220,,,450.4752941,220,,197.237037,201.9065,250.0472727,282.0816667,171.0621429,,258.3945455,180.3573333,295.6164179,247.17,357.835,,182.96,239.785,48.69
10/2/2014,,273.8811111,339.4775,163.85,74.81,194.2461538,208.7144444,249.7,180.0035294,,,,238.565,155.15,,,,,,158.6,334.135,233.792,301.3028571,,251.2766667,,,434.5188889,220,,221.9765,259.6943478,303.1633333,220.825,223.257,,189.5625,307.902,258.7157143,110.8,386.04,220,515.8466667,442.92,146.7066667
10/3/2014,,238.85625,272.55,248.2,220,327.1057143,201.3254167,250.6466667,234.5122581,,,,340.57,224.9083333,225.415,,,,,,202.32375,249.9338889,222.112,,131.39,,,400.2465217,220,,267.8925,171.9458974,245.3858824,308.048,215.8228571,,216.2183333,218.6531579,233.5479775,220,276.594375,,233.8792308,254.515,293.6
