Date,AK,AL,AR,AZ,CA,CO,CT,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NA,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VT,WA,WI,WV
12/11/2014,,235.3657143,206.9666667,232.76,135,314.86,309.67,373.33,173.0896296,103.74,,,246.9285714,411.84,,,,,,,391.745,234.1033333,249.695,,,,,516.8026667,225.9575,650.23,382.1546154,191.7310526,183.77875,111.14,289.9664286,,235.125625,261.585,304.5409804,189.3833333,318.358125,,190.63,104,509.07
12/12/2014,,146.08,164.195,371.2833333,,232.7211111,224.2841667,285.498,240.8493333,,,,147.33,210.8025,641.06,,,,,,413.96,241.64125,307.975,,396.165,,,382.0495,225.04,,309.8570588,195.4228571,135.3566667,163.2433333,212.5080952,,405.7833333,297.54,298.0869512,250.284,236.6023077,,202.78,104,305.72
12/13/2014,,178.24,358.265,345.89,,135,354.3,,202.96125,,,,,76.04,,,,,,,199.895,157.8333333,127.67,,,,,382.565,,,215.9366667,234.442,213.3,,206.3525,,155.67,194.545,216.623125,243.6,230.354,,240.53,72.34,
12/15/2014,,187.50375,95.665,201.9325,220,256.39,256.5483333,484.91,207.2931034,,,,189.765,270.6066667,94.305,,,,,,207.66125,209.405,239.4233333,,369.345,,,358.8658333,138.5633333,,377.9692857,142.9015385,191.5,221.1266667,222.3109091,,290.3028571,303.505,227.4144286,213.324,267.7291667,,229.6575,225.8871429,396.77
12/16/2014,,200.35,256.85,152.27,,283.03,226.305,233.295,214.26375,,,254.545,477.43,196.02,,,,,,,211.3571429,138.2933333,,,,,,450.7033333,301.9533333,,288.5775,180.7126667,240.29,214.2175,137.3938462,,257.413,221.9733333,252.4532075,177.1933333,239.5410526,,264.6575,,465.474
12/17/2014,,229.4842857,347.8816667,156.2933333,350.805,201.4483333,409.1,322.755,226.4665,,,,252.19,142.39,,,,,,,373.31,215.8616667,323.5971429,,,,,316.06,156.77,,234.6325,171.1533333,322.5642857,36.345,154.3442857,,235.5127273,238.102,298.8654717,291.6,188.407,,225.9775,199.6883333,334.2533333
12/18/2014,,335.6066667,68.135,126.18,,278.97375,193.1185714,332.11,344.8028571,,,,277.6133333,323.405,,,,,,,176.96,179.2828571,228.1375,,167.01,,,456.6178571,,,354.0433333,227.96875,154.1383333,247.975,239.9369231,,254.0757143,201.875,277.7281667,135.66,378.9522222,,235.17875,321.71,
12/19/2014,,430.218,385.8314286,183.53,,246.6866667,297.8441667,378.3633333,241.3081481,,,,213.77,218.495,,,,,,,244.0707692,243.155,323.2175,,,,,365.6771429,248.38,,214.6446154,307.918,245.6,166.4183333,213.7547059,,186.1704545,147.9133333,285.387439,231.81,350.88,164.33,195.1455556,173.88,
12/22/2014,,290.81,404.884,226.085,21.94,223.92,273.5733333,245.7633333,244.3014286,,,,45.085,101.625,,,,,,,161.27,331.7333333,203.53,,220.8166667,,,390.1982353,300.29,,271.0118182,166.4775,178.2566667,220,246.72,,232.0073333,226.3683333,258.6477778,317.67,237.037,,417.1533333,87.31333333,108.16
12/23/2014,,149.28,146.11,415.4633333,220,261.0516667,352.907,265.194,231.4142105,,,,200.275,275,,,,,,,275.4828571,241.0892308,72.61,,206.405,,,346.6916667,180.685,,367.1825,177.0163636,213.958,291.43,253.24,,195.0127273,246.46,314.6434783,393.9533333,352.5946667,,254.2428571,286.728,295.9333333
12/24/2014,,124.4533333,337.92,209.72,,587.15,314.5666667,243.7833333,226.5416667,,,,,166.88,,,226.88,,,,147.3933333,232.52,503.92,,,,,338.6215385,,,311.4433333,195.9363636,188.2466667,251.2466667,174.3157143,,208.6788889,119.115,314.0570455,220,235.0011765,,288.0966667,,195.11
12/26/2014,,229.9016667,506.77,171.1325,220,310.2122222,227.73,281.176,235.04,220,,,112.9775,53.935,220,,124.7,,,,183.4122222,213.867,250.51,,139.48,,,330.8236364,177.27,,390.3861538,247.9521429,146.675,170.48,185.2681818,,229.35,155.566,227.8474242,220,245.86125,,197.5228571,126.585,268.3975
12/27/2014,,,,,,,317.81,,220,,,,,,,,,,,,,,,,,,,638.59,,,,,,,,,154.13,,,,,,,,
12/29/2014,,358.96,131.13,45.74,,216.5757143,214.1433333,200.0666667,245.9852941,,,,245.65,129.48,102.67,,,,,,138.81,393.6466667,406.14,,386.82,,,332.498,108.59,,393.99,157.2415385,159.99,373.854,209.12375,,364.64,367.0866667,295.2476471,172.155,267.9694118,,327.9528571,236.45,336.81
12/30/2014,,308.76,131.6633333,475,,382.12,207.2115385,145.27,206.3126087,,,,135,171.815,235.89,,,,,,216.49,249.88,297.245,,129,,,333.1584615,168.56,,272.6321429,143.0814286,314.5466667,188.23,151.073,,268.8257143,262.93,324.3486957,221.6666667,303.9352632,,177.9514286,176.8775,301.2533333
12/31/2014,,106.6466667,183.362,328.9071429,,201.8233333,240.8318182,527.23,221.398125,,,,132.505,304.415,,,,,,,316.4857143,170.73,293.005,,,,,300.56125,211.835,,305.789,205.2164286,290.7342857,192.20125,225.1083333,,186.2785714,283.6016667,262.5553425,297.32,295.5620833,,327.2883333,105.64,264.425
2/2/2015,,,156.917,145.8271,,179.2083333,259.5601111,,221.7428286,,,,,182.078,,,,,,,316.504,227.98995,216.408,,229.712,,,275.625,220,,249.4260889,334.9023077,221.8092455,232.579,206.422,,274.0938,367.54,255.9526328,574.166,213.0422563,,304.1374,194.577,293.759
2/3/2015,,390.9623636,302.6763167,193.6974833,,331.535,196.9436667,,228.64152,,,,144.539,128.9045,,,,,,,650.227,307.47764,684.4296,,,,,340.63866,387.7942,,217.2637,147.9284545,231.9377667,295.4415333,316.268,,343.6008333,198.055,243.6318862,195.9824,250.03355,,258.1016556,,279.7254
2/4/2015,,198.7914545,238.7457556,182.2045,,296.4419967,195.0772583,262.2606667,219.8926192,,,,,,,,,,,,210.4144833,289.7579857,307.4595,,220,,,336.4391905,288.1115,,339.7295294,173.62762,199.25526,202.1078143,257.502375,,228.2034545,165.77032,253.3534254,186.6255,238.3580941,,381.8283,107.0225,194.8316857
2/5/2015,,307.83705,195.823875,249.31034,139.871,208.2237667,275.8451765,315.628,251.5543682,,,,341.0725,207.8035,,,,,,,416.6248333,210.8391167,389.4434,,17.0625,,,369.5922727,222.503,,274.9011111,178.748475,248.00122,294.6749556,237.40988,,211.9757917,201.1557667,237.8674591,176.5,355.08325,,277.8762,218.5425,413.2430667
2/6/2015,,140.4251628,213.8681091,141.8007667,,225.2249091,255.1337857,440.55375,227.4183529,,,,97.10686667,274.4545,,,,,,,248.107375,240.8608941,353.31512,,315.952,,,404.5867545,350.69325,,275.3395,213.3896917,235.2393278,244.0663333,245.0519647,,251.0792,246.4789706,239.9674576,289.06,262.3689688,,334.15882,171.287,465.9938333
2/7/2015,,72.0797,,425.408,,,127.708,,135.0163167,,,,,,,,,,,,,37.2738,121.63525,,,,,,625.162,,223.304,207.889,,,143.797325,,359.659,145.6831333,250.10005,,70.9846,,163.776,,
2/10/2015,,206.76775,91.908,426.637,,184.8063333,390.768,,220,,,,,285.9026667,,,,,,,249.717,257.82825,,,162.0875,,,369.2087875,,,258.7756667,131.3096167,157.6983833,204.282,206.31435,,170.28345,131.61045,244.7027765,155.864,263.3046,,185.9355,,145.497
2/11/2015,,245.5044308,142.4308667,228.8753833,,261.5752143,401.1403231,190.589,243.3105357,,,,215.6895286,135.97606,,,,,,,149.1021333,192.9273154,302.773875,,,,,420.7961429,237.456,,418.1522235,202.7381417,297.2009,263.7079143,223.0010286,,329.4284083,229.6429071,253.283388,228.81275,270.8652538,,176.7713333,,187.37395
2/12/2015,,232.3628714,173.8459125,210.3776,,305.9081667,240.7497154,249.9783333,167.3246154,,,,110.4117667,153.349,,,,,,,265.8415714,242.3188529,245.2211667,,200.8266667,,,341.4855526,204.44375,,291.6775947,196.7459867,195.8359636,271.953,244.0113167,,281.8604,224.7476667,273.1594028,230.3071,251.8359524,,294.70072,,250.6323333
