"X21st","Dairyland","Esurance","Foremost","Mercury","MetLife","National.General","Plymouth.Rock","Progressive","Safeco","The.General","Hartford","Travelers","ASI"
1,0.394093329563937,0.364239818849208,0.656036394051726,0.823219720119243,0.243341956849367,0.0444470826251259,0.487628749841809,0.884981778589914,0.766835182240757,0.726831769745949,0.586830413883809,0.70770825383342,0.179883459056974
0.394093329563937,1,0.515344847554557,0.489259306028506,0.458393975539883,0.440717523025864,-0.0415990149469889,0.0724942278768988,0.45923429764216,0.261829530088875,0.481998160257948,0.253660272412975,0.216023573953315,-0.0199946687990523
0.364239818849208,0.515344847554557,1,0.527322482236462,0.480681711568385,0.569911880957481,-0.0966564172788816,0.28931015718639,0.279331201001619,0.466687676087171,0.364879265815263,0.247002800042125,0.134894500142268,0.341026093548068
0.656036394051726,0.489259306028506,0.527322482236462,1,0.770657245869996,0.524092826560471,-0.145760864696391,0.368434818336538,0.624208560725138,0.628205606977204,0.680975316925537,0.664200163260714,0.623855672055147,0.22554505865392
0.823219720119243,0.458393975539883,0.480681711568385,0.770657245869996,1,0.46066678146282,0.170025576400395,0.654325876587769,0.806363578853699,0.776568625151838,0.816731446370473,0.686361024735642,0.756076694950033,0.134228870680497
0.243341956849367,0.440717523025864,0.569911880957481,0.524092826560471,0.46066678146282,1,-0.132364094122785,0.198683512034368,0.409896157729768,0.502708117816231,0.453997096310766,0.227130025725917,0.192168213494872,0.234125748231754
0.0444470826251259,-0.0415990149469889,-0.0966564172788816,-0.145760864696391,0.170025576400395,-0.132364094122785,1,0.358640751178386,0.102914342177425,-0.00174582293276058,0.014853244655791,0.154541984409845,0.126347947562754,-0.213623314820552
0.487628749841808,0.0724942278768988,0.28931015718639,0.368434818336538,0.654325876587769,0.198683512034368,0.358640751178386,1,0.529099343302417,0.51404895035985,0.425274644074715,0.467129025635629,0.536308792012121,0.0566512164797765
0.884981778589914,0.45923429764216,0.279331201001619,0.624208560725138,0.806363578853699,0.409896157729768,0.102914342177425,0.529099343302417,1,0.765206408579745,0.751997154515793,0.589355096211137,0.698076947334209,0.195490434948982
0.766835182240757,0.261829530088875,0.466687676087171,0.628205606977204,0.776568625151838,0.502708117816231,-0.00174582293276058,0.51404895035985,0.765206408579745,1,0.656137241341166,0.484240456822353,0.639042257089979,0.407147857784175
0.726831769745949,0.481998160257948,0.364879265815263,0.680975316925537,0.816731446370473,0.453997096310766,0.014853244655791,0.425274644074715,0.751997154515793,0.656137241341166,1,0.61088869859764,0.705151799190137,0.106824311760095
0.58683041388381,0.253660272412975,0.247002800042124,0.664200163260714,0.686361024735642,0.227130025725917,0.154541984409845,0.467129025635628,0.589355096211137,0.484240456822353,0.61088869859764,1,0.725085423451684,0.196375017087226
0.70770825383342,0.216023573953315,0.134894500142268,0.623855672055147,0.756076694950033,0.192168213494872,0.126347947562754,0.536308792012121,0.69807694733421,0.639042257089979,0.705151799190137,0.725085423451684,1,0.0123937656332734
0.179883459056974,-0.0199946687990523,0.341026093548068,0.22554505865392,0.134228870680497,0.234125748231754,-0.213623314820552,0.0566512164797765,0.195490434948982,0.407147857784175,0.106824311760095,0.196375017087226,0.0123937656332734,1
