Date,ID,AK,AL,AR,AZ,CA,CO,CT,FL,GA,IL,IN,KS,KY,MA,MD,ME,MI,MN,MO,MS,NC,NH,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,VT,WA,WI,WV,(blank),Grand Total
11/10/2014,M,0,11,1,4,0,14,4,3,19,1,5,3,1,0,0,0,0,2,5,0,1,0,16,0,0,9,15,8,7,16,14,7,46,2,18,0,10,1,3,0,246
11/11/2014,T,0,6,8,2,2,7,4,1,22,0,2,4,0,0,0,0,0,1,3,6,0,0,12,8,0,12,22,2,5,8,12,3,61,3,12,0,8,1,2,0,239
11/12/2014,W,0,3,1,3,1,2,5,2,23,0,3,1,0,0,1,0,0,3,4,1,1,0,19,1,0,11,14,4,1,17,6,9,50,6,18,0,9,4,4,0,227
11/13/2014,TH,0,5,1,4,3,6,3,0,19,0,3,5,0,0,0,0,0,10,7,1,0,0,15,3,0,15,20,5,6,5,15,10,54,7,17,0,7,4,2,0,252
11/14/2014,FR,0,4,8,6,1,8,11,4,35,0,2,3,1,0,0,0,0,7,7,9,0,1,16,3,0,23,33,15,5,20,19,11,90,12,17,0,7,1,7,0,386
11/15/2014,SA,0,0,3,0,0,2,1,0,8,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,3,7,1,1,3,3,1,17,1,3,0,4,3,2,0,70
11/17/2014,M,0,1,4,7,5,6,12,5,30,0,4,1,0,0,0,0,0,8,9,3,1,1,23,4,0,16,22,6,5,16,6,16,54,3,9,0,4,2,3,0,286
11/18/2014,T,0,7,1,3,3,6,3,2,16,0,2,1,0,0,0,0,0,4,2,2,0,0,8,1,0,14,10,5,1,10,8,9,44,2,10,0,8,2,3,0,187
11/19/2014,W,0,1,0,6,2,4,7,6,20,0,1,2,0,0,0,0,0,4,7,5,0,0,19,2,0,15,30,7,7,7,14,5,58,4,12,0,10,3,2,0,260
11/20/2014,TH,0,7,3,2,1,4,14,6,29,0,4,3,1,0,0,0,0,3,8,4,1,0,21,0,0,14,17,4,5,10,18,8,51,3,11,0,9,3,3,0,267
11/21/2014,FR,0,7,12,1,3,6,14,8,22,1,3,2,0,0,0,0,0,5,9,5,0,0,20,5,0,24,25,8,9,20,17,8,77,5,22,0,10,5,3,0,356
11/22/2014,SA,0,1,0,3,0,3,1,1,8,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,2,9,3,1,3,5,0,16,3,7,0,1,0,1,0,74
11/24/2014,M,0,3,5,4,2,7,6,2,16,0,1,2,1,0,0,0,0,9,8,3,2,0,11,3,0,20,26,5,5,8,14,8,62,4,20,0,2,1,0,0,260
11/25/2014,T,0,4,5,4,0,5,4,2,15,1,6,4,0,0,0,0,0,6,6,3,0,0,7,6,0,9,17,8,3,13,5,9,64,2,19,0,7,5,6,0,245
11/26/2014,W,0,9,6,5,3,5,9,2,23,1,2,3,1,0,0,0,0,6,6,10,1,0,16,4,0,20,21,5,5,8,14,10,65,1,10,0,7,3,3,0,284
11/28/2014,TH,0,2,4,1,3,7,16,2,47,0,6,6,0,0,0,0,0,8,18,4,0,0,18,2,0,24,41,2,4,16,15,13,68,3,16,0,6,3,3,0,358
11/29/2014,FR,0,0,0,0,0,0,5,0,7,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,4,8,3,0,6,3,4,16,0,4,0,0,0,1,0,67
