carrier_sold,future_pay_date, pre_tax_premium ,Term,state,1st_yr_value,Comm
PROGRESSIVE,10/1/2014,181,6,TN,32.3266,Var
PROGRESSIVE,10/1/2014,649,6,GA,55.2299,Var
PROGRESSIVE,10/1/2014,296,6,KS,76.833312,Var
PROGRESSIVE,10/1/2014,597,6,MN,239.3094082,Var
PROGRESSIVE,10/1/2014,470,6,OK,39.997,Var
PROGRESSIVE,10/1/2014,313,6,AL,26.6363,Var
PROGRESSIVE,10/1/2014,1113,6,SC,94.7163,Var
PROGRESSIVE,10/1/2014,260,6,MN,22.126,Var
PROGRESSIVE,10/1/2014,1207,6,OH,215.5702,Var
PROGRESSIVE,10/1/2014,308,6,OH,99.15030356,Var
PROGRESSIVE,10/1/2014,189,6,IN,60.84223173,Var
PROGRESSIVE,10/1/2014,459,6,AL,147.7597056,Var
PROGRESSIVE,10/1/2014,254,6,MO,45.3644,Var
PROGRESSIVE,10/1/2014,243,6,OH,97.40734704,Var
PROGRESSIVE,10/1/2014,182.2,6,KS,58.65319905,Var
PROGRESSIVE,10/1/2014,572.13,6,WV,48.688263,Var
PROGRESSIVE,10/1/2014,241,6,TN,20.5091,Var
PROGRESSIVE,10/1/2014,876,6,OH,74.5476,Var
PROGRESSIVE,10/1/2014,610,6,TN,196.3691077,Var
PROGRESSIVE,10/1/2014,772,6,WA,200.389584,Var
PROGRESSIVE,10/1/2014,368,6,OH,147.514007,Var
PROGRESSIVE,10/1/2014,1688,6,FL,543.3951702,Var
PROGRESSIVE,10/1/2014,495,6,WA,128.48814,Var
PROGRESSIVE,10/1/2014,2019,6,FL,649.9495548,Var
PROGRESSIVE,10/1/2014,1444,6,KS,257.8984,Var
PROGRESSIVE,10/1/2014,489,6,OH,87.3354,Var
PROGRESSIVE,10/1/2014,1165,6,AR,208.069,Var
PROGRESSIVE,10/1/2014,1190,6,OR,308.89068,Var
PROGRESSIVE,10/1/2014,603,6,OK,51.3153,Var
PROGRESSIVE,10/1/2014,954.5,6,CO,307.2693661,Var
PROGRESSIVE,10/1/2014,1060,6,MS,189.316,Var
PROGRESSIVE,10/1/2014,750,6,AL,63.825,Var
PROGRESSIVE,10/1/2014,399,6,IN,103.569228,Var
TRAVELERS,10/1/2014,975,12,TN,212.71575,Var
TRAVELERS,10/1/2014,773,12,OH,168.64541,Var
TRAVELERS,10/1/2014,1678,12,TX,366.08926,Var
TRAVELERS,10/1/2014,1829,12,TN,399.03293,Var
TRAVELERS,10/1/2014,2007,12,CT,437.86719,Var
TRAVELERS,10/1/2014,696,12,TN,73.06897987,Var
TRAVELERS,10/1/2014,1461,12,TN,318.74637,Var
TRAVELERS,10/1/2014,1262,12,TX,275.33054,Var
TRAVELERS,10/1/2014,3046,12,CT,664.54582,Var
TRAVELERS,10/1/2014,1170,12,TX,255.2589,Var
TRAVELERS,10/1/2014,969,12,CT,249.345305,Var
TRAVELERS,10/1/2014,1235,12,CT,269.43995,Var
TRAVELERS,10/1/2014,808,12,TX,176.28136,Var
TRAVELERS,10/1/2014,3806,12,NJ,830.35502,Var
TRAVELERS,10/1/2014,886,12,TX,193.29862,Var
TRAVELERS,10/1/2014,1506,12,UT,328.56402,Var
TRAVELERS,10/1/2014,1095,12,OK,238.89615,Var
TRAVELERS,10/1/2014,878,12,CT,191.55326,Var
TRAVELERS,10/1/2014,389,6,TX,136.5651081,Var
TRAVELERS,10/1/2014,812,12,KS,177.15404,Var
TRAVELERS,10/1/2014,1589,12,MO,346.67213,Var
TRAVELERS,10/1/2014,1020,12,CT,222.5334,Var
FOREMOST,10/1/2014,988,6,NY,100.941984,Var
FOREMOST,10/1/2014,1571,6,NY,160.505928,Var
FOREMOST,10/1/2014,670,6,CT,68.45256,Var
FOREMOST,10/1/2014,1113,6,NY,113.712984,Var
FOREMOST,10/1/2014,1262,6,NY,128.936016,Var
FOREMOST,10/1/2014,228,6,GA,23.294304,Var
FOREMOST,10/1/2014,638,6,NY,65.183184,Var
FOREMOST,10/1/2014,1606,6,GA,164.081808,Var
FOREMOST,10/1/2014,692,6,CT,70.700256,Var
FOREMOST,10/1/2014,960,6,CT,98.08128,Var
FOREMOST,10/1/2014,982,6,NY,100.328976,Var
FOREMOST,10/1/2014,1622,6,NY,165.716496,Var
FOREMOST,10/1/2014,880,6,NY,89.90784,Var
FOREMOST,10/1/2014,830,6,NY,84.79944,Var
FOREMOST,10/1/2014,598,6,NY,61.096464,Var
FOREMOST,10/1/2014,901,6,GA,92.053368,Var
PLYMOUTH ROCK,10/1/2014,1734,6,NJ,764.06976,Var
PLYMOUTH ROCK,10/1/2014,581,6,NJ,256.01184,Var
PLYMOUTH ROCK,10/1/2014,1075,6,NJ,473.688,Var
PLYMOUTH ROCK,10/1/2014,1021,6,NJ,449.89344,Var
PLYMOUTH ROCK,10/1/2014,877,6,NJ,386.44128,Var
PLYMOUTH ROCK,10/1/2014,547,6,NJ,241.03008,Var
PLYMOUTH ROCK,10/1/2014,1358,6,NJ,598.38912,Var
PLYMOUTH ROCK,10/1/2014,728,6,NJ,320.78592,Var
PLYMOUTH ROCK,10/1/2014,641,6,NJ,282.45024,Var
PLYMOUTH ROCK,10/1/2014,2251,6,NJ,991.88064,Var
PLYMOUTH ROCK,10/1/2014,531,6,NJ,233.97984,Var
PLYMOUTH ROCK,10/1/2014,679,6,NJ,299.19456,Var
PLYMOUTH ROCK,10/1/2014,1271,6,NJ,560.05344,Var
ASI,10/1/2014,1060,12,NJ,134.7314197,Var
ASI,10/1/2014,744,12,NJ,94.56620403,Var
THE GENERAL,10/1/2014,758,12,OH,62.11052,Var
ASI,10/1/2014,412,12,OH,52.36730653,Var
SAFECO,10/1/2014,779,12,GA,174.2754829,Var
SAFECO,10/1/2014,530,12,NY,157.0646605,Var
SAFECO,10/1/2014,256,12,WI,42.2336304,Var
SAFECO,10/1/2014,229,12,MO,37.77930219,Var
SAFECO,10/1/2014,170,12,TN,28.04577019,Var
SAFECO,10/1/2014,390,12,MO,64.34029631,Var
SAFECO,10/1/2014,752,12,OH,222.8540088,Var
THE GENERAL,10/1/2014,793,12,TN,64.97842,Var
THE GENERAL,10/1/2014,774,12,TN,63.42156,Var
THE GENERAL,10/1/2014,802,12,SC,65.71588,Var
THE GENERAL,10/1/2014,1755,12,SC,143.8047,Var
THE GENERAL,10/1/2014,1110,12,SC,90.9534,Var
MERCURY,10/1/2014,341,6,TX,93.793755,Var
MERCURY,10/1/2014,546,6,TX,150.18003,Var
MERCURY,10/1/2014,507,6,TX,139.452885,Var
MERCURY,10/1/2014,356,6,TX,97.91958,Var
MERCURY,10/1/2014,497,6,TX,136.702335,Var
MERCURY,10/1/2014,1043,6,TX,286.882365,Var
MERCURY,10/1/2014,412,6,TX,113.32266,Var
MERCURY,10/1/2014,377,6,TX,103.695735,Var
MERCURY,10/1/2014,731,6,TX,201.065205,Var
MERCURY,10/1/2014,1025,6,TX,281.931375,Var
MERCURY,10/1/2014,678,6,TX,186.48729,Var
MERCURY,10/1/2014,800,6,TX,220.044,Var
MERCURY,10/1/2014,538,6,TX,147.97959,Var
MERCURY,10/1/2014,976,6,TX,268.45368,Var
MERCURY,10/1/2014,710,6,TX,195.28905,Var
MERCURY,10/1/2014,1229,6,TX,338.042595,Var
MERCURY,10/1/2014,1938,6,TX,533.05659,Var
MERCURY,10/1/2014,884,6,TX,243.14862,Var
MERCURY,10/1/2014,479,6,TX,131.751345,Var
MERCURY,10/1/2014,434,6,TX,119.37387,Var
MERCURY,10/1/2014,1389,6,TX,382.051395,Var
MERCURY,10/1/2014,543,6,TX,149.354865,Var
MERCURY,10/1/2014,878,6,TX,241.49829,Var
MERCURY,10/1/2014,242,6,TX,66.56331,Var
MERCURY,10/1/2014,1300,6,TX,357.5715,Var
MERCURY,10/1/2014,689,6,TX,189.512895,Var
MERCURY,10/1/2014,1710,6,TX,470.34405,Var
SAFECO,10/1/2014,1546.7,12,OK,427.9904504,Var
SAFECO,10/1/2014,526.9,12,AL,145.7995528,Var
SAFECO,10/1/2014,579,12,TN,160.216248,Var
SAFECO,10/1/2014,498.3,12,GA,107.4210225,Var
SAFECO,10/1/2014,1043.3,12,IN,288.6936296,Var
SAFECO,10/1/2014,1120.4,12,GA,241.53023,Var
SAFECO,10/1/2014,824.03,6,NY,69.31571434,Var
SAFECO,10/1/2014,571.5,12,AR,139.9117725,Var
SAFECO,10/1/2014,613.8,12,GA,151.000938,Var
SAFECO,10/1/2014,3439.3,12,GA,741.4270975,Var
SAFECO,10/1/2014,733.4,12,GA,158.102705,Var
SAFECO,10/1/2014,319.9,12,OH,88.5201688,Var
SAFECO,10/1/2014,1347.1,12,CT,331.400071,Var
SAFECO,10/1/2014,2522.7,12,SC,698.0613624,Var
SAFECO,10/1/2014,2634.6,12,AR,729.0254352,Var
SAFECO,10/1/2014,602,12,OH,166.580624,Var
SAFECO,10/1/2014,979.86,12,NY,239.8844259,Var
SAFECO,10/1/2014,1087.8,12,AL,301.0073136,Var
SAFECO,10/1/2014,1544.62,12,NY,427.4148894,Var
SAFECO,10/1/2014,635,6,CT,53.41489825,Var
SAFECO,10/1/2014,1594.3,12,OH,441.1619416,Var
SAFECO,10/1/2014,1336.7,12,OH,369.8809304,Var
SAFECO,10/1/2014,1763.3,12,MO,431.6822895,Var
SAFECO,10/1/2014,1569.6,12,GA,338.36652,Var
SAFECO,10/1/2014,1034.5,12,CT,223.0123375,Var
SAFECO,10/1/2014,497.7,12,OK,25.955055,Var
SAFECO,10/1/2014,519.9,6,CT,114.5863759,Var
SAFECO,10/1/2014,594.5,12,TN,164.505284,Var
SAFECO,10/1/2014,1048.9,12,GA,258.039889,Var
SAFECO,10/1/2014,744.5,12,CT,183.154445,Var
SAFECO,10/1/2014,1334.8,12,CO,369.3551776,Var
SAFECO,10/1/2014,1481.6,12,GA,319.39592,Var
SAFECO,10/1/2014,873.5,12,CO,241.707932,Var
SAFECO,10/1/2014,1103.9,12,VA,305.4623768,Var
SAFECO,10/1/2014,1317.1,12,MS,364.4573752,Var
SAFECO,10/1/2014,475.4,6,GA,104.7785403,Var
SAFECO,10/1/2014,1332.9,12,MO,368.8294248,Var
SAFECO,10/1/2014,1406.8,12,TN,344.405742,Var
SAFECO,10/1/2014,1257.8,12,CT,309.431378,Var
SAFECO,10/1/2014,1046.5,12,NY,289.579108,Var
SAFECO,10/1/2014,529.86,12,NY,146.6186203,Var
SAFECO,10/1/2014,707.8,12,MS,195.8567536,Var
SAFECO,10/1/2014,1096.3,12,AZ,303.3593656,Var
SAFECO,10/1/2014,474.3,12,AZ,131.2445016,Var
SAFECO,10/1/2014,1104.7,12,OH,270.4471305,Var
SAFECO,10/1/2014,1432.9,12,OR,396.5006248,Var
SAFECO,10/1/2014,374.8,12,GA,92.204548,Var
SAFECO,10/1/2014,842.4,12,GA,207.238824,Var
SAFECO,10/1/2014,1684.4,12,WI,466.0936928,Var
SAFECO,10/1/2014,1519.5,12,AR,371.9963925,Var
SAFECO,10/1/2014,1228,12,WI,339.802336,Var
SAFECO,10/1/2014,1561.2,12,MO,432.0027744,Var
SAFECO,10/1/2014,859,6,GA,72.25731905,Var
SAFECO,10/1/2014,1048.9,12,GA,258.039889,Var
SAFECO,10/1/2014,2380.9,12,OK,658.8236008,Var
SAFECO,10/1/2014,1442.9,12,AL,353.2435635,Var
SAFECO,10/1/2014,1142.6,12,GA,246.315995,Var
SAFECO,10/1/2014,560.1,12,MS,154.9863912,Var
SAFECO,10/1/2014,2163,12,FL,532.11963,Var
SAFECO,10/1/2014,175.5,12,CT,43.174755,Var
SAFECO,10/1/2014,1458.3,12,TN,403.5291096,Var
SAFECO,10/1/2014,1458,12,GA,314.30835,Var
SAFECO,10/1/2014,948.5,12,AR,262.461332,Var
SAFECO,10/1/2014,1422.8,12,MS,393.7058336,Var
SAFECO,10/1/2014,1379.4,12,MO,381.6965328,Var
SAFECO,10/1/2014,1414.2,12,OR,391.3261104,Var
SAFECO,10/1/2014,1316,6,SC,110.6992222,Var
SAFECO,10/1/2014,1094.3,12,OH,267.9010545,Var
SAFECO,10/1/2014,1293.8,12,SC,316.741647,Var
SAFECO,10/1/2014,1228.4,12,OH,339.9130208,Var
SAFECO,10/1/2014,2016,12,TX,557.851392,Var
SAFECO,10/1/2014,759.8,12,TX,210.2457776,Var
SAFECO,10/1/2014,874.7,12,TX,242.0399864,Var
SAFECO,10/1/2014,1522.6,12,TX,421.3216912,Var
SAFECO,10/1/2014,2054.5,12,TX,502.9724175,Var
SAFECO,10/1/2014,890.2,12,TX,246.3290224,Var
SAFECO,10/1/2014,1356.8,12,TX,332.164992,Var
SAFECO,10/1/2014,958.4,12,TX,265.2007808,Var
SAFECO,10/1/2014,1423.7,12,TX,393.9548744,Var
SAFECO,10/1/2014,3564.7,12,TX,986.3952664,Var
SAFECO,10/1/2014,1593.3,12,TX,440.8852296,Var
SAFECO,10/1/2014,1196.9,12,TX,331.1965928,Var
SAFECO,10/1/2014,1196,12,TX,330.947552,Var
SAFECO,10/1/2014,1481.1,12,TX,409.8381432,Var
SAFECO,10/1/2014,2517.5,12,TX,696.62246,Var
SAFECO,10/1/2014,2005.8,12,TX,555.0289296,Var
SAFECO,10/1/2014,1897.2,12,TX,524.9780064,Var
SAFECO,10/1/2014,1698.8,12,TX,470.0783456,Var
SAFECO,10/1/2014,1638.7,12,TX,453.4479544,Var
SAFECO,10/1/2014,528.3,12,TX,146.1869496,Var
SAFECO,10/1/2014,2340.5,12,TX,647.644436,Var
MERCURY,10/2/2014,272,6,CA,74.81496,Var
HARTFORD,10/2/2014,713,6,TX,203.0380011,Var
HARTFORD,10/2/2014,1141,12,TX,293.9539283,Var
HARTFORD,10/2/2014,782,6,TX,222.68684,Var
HARTFORD,10/2/2014,658,12,TX,169.5194433,Var
HARTFORD,10/2/2014,988,6,TX,281.3485906,Var
HARTFORD,10/2/2014,612,12,OH,157.66854,Var
HARTFORD,10/2/2014,1381,12,OR,355.7847283,Var
HARTFORD,10/2/2014,1407,12,MN,362.483065,Var
HARTFORD,10/2/2014,692,6,OH,197.0579198,Var
HARTFORD,10/2/2014,873,6,SC,248.6005259,Var
HARTFORD,10/2/2014,790,6,AL,224.9649662,Var
HARTFORD,10/2/2014,910,6,PA,259.1368598,Var
HARTFORD,10/2/2014,832,12,TX,211.8008533,Var
MERCURY,10/2/2014,863,6,FL,237.372465,Var
MERCURY,10/2/2014,936,6,FL,257.45148,Var
MERCURY,10/2/2014,1620,12,FL,279.4635,Var
MERCURY,10/2/2014,1047,12,FL,180.616225,Var
MERCURY,10/2/2014,1171.03,6,FL,322.0976567,Var
21ST,10/2/2014,851,6,OR,220,Fixed
21ST,10/2/2014,458,6,OR,220,Fixed
21ST,10/2/2014,954.73,6,TX,220,Fixed
21ST,10/2/2014,360,6,GA,220,Fixed
21ST,10/2/2014,404,6,MO,220,Fixed
21ST,10/2/2014,1009,6,GA,220,Fixed
21ST,10/2/2014,741,6,MO,220,Fixed
21ST,10/2/2014,1586.49,6,TX,220,Fixed
21ST,10/2/2014,866,6,TX,220,Fixed
21ST,10/2/2014,479.18,6,TX,220,Fixed
21ST,10/2/2014,840.52,6,NJ,220,Fixed
21ST,10/2/2014,481.36,6,GA,220,Fixed
21ST,10/2/2014,441,6,GA,220,Fixed
21ST,10/2/2014,471.01,6,CO,220,Fixed
21ST,10/2/2014,292.39,6,GA,220,Fixed
21ST,10/2/2014,421,6,NM,220,Fixed
21ST,10/2/2014,939.87,6,GA,220,Fixed
21ST,10/2/2014,244,6,CO,220,Fixed
21ST,10/2/2014,847,6,CO,220,Fixed
21ST,10/2/2014,703,6,PA,220,Fixed
21ST,10/2/2014,1391,6,TX,220,Fixed
21ST,10/2/2014,759.38,6,PA,220,Fixed
21ST,10/2/2014,812,6,GA,220,Fixed
21ST,10/2/2014,1818.98,6,CT,220,Fixed
21ST,10/2/2014,807,6,NM,220,Fixed
21ST,10/2/2014,868,6,CT,220,Fixed
21ST,10/2/2014,690.55,6,TX,220,Fixed
21ST,10/2/2014,498,6,VA,220,Fixed
21ST,10/2/2014,1448,6,VT,220,Fixed
21ST,10/2/2014,1032.68,6,PA,220,Fixed
21ST,10/2/2014,579.4,6,MO,220,Fixed
21ST,10/2/2014,1053.13,6,PA,220,Fixed
21ST,10/2/2014,339,6,MN,220,Fixed
21ST,10/2/2014,183.17,6,GA,220,Fixed
21ST,10/2/2014,806,6,OH,220,Fixed
21ST,10/2/2014,84.68,6,WA,220,Fixed
21ST,10/2/2014,661,6,CO,220,Fixed
21ST,10/2/2014,579,6,FL,220,Fixed
21ST,10/2/2014,671.71,6,GA,220,Fixed
21ST,10/2/2014,302.55,6,OH,220,Fixed
MERCURY,10/2/2014,976,6,NY,268.45368,Var
MERCURY,10/2/2014,948,6,NY,260.75214,Var
MERCURY,10/2/2014,1089,6,NY,299.534895,Var
MERCURY,10/2/2014,5587,6,NY,764.3016,Var
MERCURY,10/2/2014,1350,6,NY,371.32425,Var
MERCURY,10/2/2014,771,6,NY,212.067405,Var
MERCURY,10/2/2014,804,6,NY,221.14422,Var
MERCURY,10/2/2014,2352,12,VA,405.7396,Var
MERCURY,10/2/2014,2364,12,VA,407.8097,Var
MERCURY,10/2/2014,1855,12,VA,320.0029583,Var
MERCURY,10/2/2014,1244,6,VA,342.16842,Var
MERCURY,10/2/2014,2268,12,VA,391.2489,Var
MERCURY,10/2/2014,1569,12,VA,270.665575,Var
ESURANCE,10/2/2014,598,6,AL,475,Fixed
ESURANCE,10/2/2014,332,6,OK,325,Fixed
ESURANCE,10/2/2014,818,6,SC,225,Fixed
ESURANCE,10/2/2014,1108,6,AR,325,Fixed
ESURANCE,10/2/2014,883,6,OK,475,Fixed
ESURANCE,10/2/2014,1355,6,AR,475,Fixed
ESURANCE,10/2/2014,1108,6,AL,475,Fixed
ESURANCE,10/2/2014,762,6,VA,475,Fixed
ESURANCE,10/2/2014,891,6,WA,325,Fixed
ESURANCE,10/2/2014,1084,6,OK,350,Fixed
ESURANCE,10/2/2014,508,6,GA,225,Fixed
ESURANCE,10/2/2014,1122.5,6,CO,225,Fixed
ESURANCE,10/2/2014,1643,6,TX,325,Fixed
ESURANCE,10/2/2014,1402,6,WA,475,Fixed
PROGRESSIVE,10/2/2014,499,6,PA,89.1214,Var
PROGRESSIVE,10/2/2014,499,6,NC,160.6363684,Var
PROGRESSIVE,10/2/2014,915,6,NC,237.50838,Var
PROGRESSIVE,10/2/2014,253,6,AL,65.671716,Var
PROGRESSIVE,10/2/2014,1197,6,MN,310.707684,Var
PROGRESSIVE,10/2/2014,1345.36,6,WV,240.281296,Var
PROGRESSIVE,10/2/2014,502,6,WI,89.6572,Var
PROGRESSIVE,10/2/2014,485,6,OH,86.621,Var
PROGRESSIVE,10/2/2014,1248,6,NJ,222.8928,Var
PROGRESSIVE,10/2/2014,334,6,OK,59.6524,Var
PROGRESSIVE,10/2/2014,1302,6,UT,110.8002,Var
PROGRESSIVE,10/2/2014,611,6,MI,158.598492,Var
PROGRESSIVE,10/2/2014,1708,6,MN,443.348976,Var
PROGRESSIVE,10/2/2014,664.5,6,CO,56.54895,Var
PROGRESSIVE,10/2/2014,460,6,AL,82.156,Var
PROGRESSIVE,10/2/2014,560,6,WV,100.016,Var
PROGRESSIVE,10/2/2014,844,6,OH,338.3201683,Var
PROGRESSIVE,10/2/2014,512,6,SC,164.8212838,Var
PROGRESSIVE,10/2/2014,819,6,SC,212.589468,Var
PROGRESSIVE,10/2/2014,576,6,KS,149.513472,Var
PROGRESSIVE,10/2/2014,1173,6,WV,99.8223,Var
PROGRESSIVE,10/2/2014,906,6,TN,291.6564124,Var
PROGRESSIVE,10/2/2014,383,6,OH,68.4038,Var
PROGRESSIVE,10/2/2014,553,6,MS,47.0603,Var
PROGRESSIVE,10/2/2014,565,6,IN,181.8828621,Var
PROGRESSIVE,10/2/2014,1161,6,WA,465.3906581,Var
PROGRESSIVE,10/2/2014,366,6,OH,65.3676,Var
PROGRESSIVE,10/2/2014,262,6,CO,46.7932,Var
TRAVELERS,10/2/2014,1166,12,OK,254.38622,Var
TRAVELERS,10/2/2014,1417,12,OK,309.14689,Var
TRAVELERS,10/2/2014,751,12,AZ,163.84567,Var
TRAVELERS,10/2/2014,1869,12,TX,407.75973,Var
TRAVELERS,10/2/2014,826,12,TN,180.20842,Var
TRAVELERS,10/2/2014,709,12,AL,182.441508,Var
TRAVELERS,10/2/2014,1361,12,PA,296.92937,Var
TRAVELERS,10/2/2014,1562,12,PA,340.78154,Var
TRAVELERS,10/2/2014,2371,12,TX,517.28107,Var
TRAVELERS,10/2/2014,6176,12,NJ,1347.41792,Var
TRAVELERS,10/2/2014,571,12,NJ,146.9310311,Var
TRAVELERS,10/2/2014,733.68,12,OH,160.0669656,Var
TRAVELERS,10/2/2014,1060,12,OH,231.2602,Var
TRAVELERS,10/2/2014,737,12,KS,160.79129,Var
TRAVELERS,10/2/2014,827,12,PA,180.42659,Var
TRAVELERS,10/2/2014,1063,12,CO,231.91471,Var
TRAVELERS,10/2/2014,1699,12,TX,370.67083,Var
TRAVELERS,10/2/2014,549.5,6,CO,192.9113802,Var
TRAVELERS,10/2/2014,1147,12,CT,250.24099,Var
TRAVELERS,10/2/2014,762,12,TX,166.24554,Var
THE GENERAL,10/2/2014,1187,12,CO,97.26278,Var
ASI,10/2/2014,169,12,FL,21.48076409,Var
