carrier_sold,future_pay_date, pre_tax_premium ,Term,state,1st_yr_value,Comm
PROGRESSIVE,10/16/2014,529,6,OK,94.4794,Var
PROGRESSIVE,10/16/2014,861,6,TN,345.1346741,Var
PROGRESSIVE,10/16/2014,713,6,PA,229.5265144,Var
PROGRESSIVE,10/16/2014,1152,6,PA,370.8478886,Var
PROGRESSIVE,10/16/2014,626,6,OK,250.9341533,Var
PROGRESSIVE,10/16/2014,671,6,TN,216.0060185,Var
PROGRESSIVE,10/16/2014,688,6,MS,58.5488,Var
PROGRESSIVE,10/16/2014,757,6,MO,303.445933,Var
PROGRESSIVE,10/16/2014,672,6,KS,174.432384,Var
PROGRESSIVE,10/16/2014,103,6,,33.15740671,Var
PROGRESSIVE,10/16/2014,102,6,AL,18.2172,Var
PROGRESSIVE,10/16/2014,780,6,OH,251.0949246,Var
TRAVELERS,10/16/2014,1746,12,PA,380.92482,Var
TRAVELERS,10/16/2014,1326,12,NM,289.29342,Var
TRAVELERS,10/16/2014,1735,12,TX,378.52495,Var
TRAVELERS,10/16/2014,860,12,CO,187.6262,Var
TRAVELERS,10/16/2014,1962,12,CO,428.04954,Var
TRAVELERS,10/16/2014,703,12,MN,153.37351,Var
TRAVELERS,10/16/2014,372,6,TX,130.5969672,Var
TRAVELERS,10/16/2014,1147,12,TX,250.24099,Var
TRAVELERS,10/16/2014,184.84,12,NJ,40.3265428,Var
TRAVELERS,10/16/2014,1637,12,CO,357.14429,Var
TRAVELERS,10/16/2014,1255,12,TX,273.80335,Var
TRAVELERS,10/16/2014,1690,12,CT,368.7073,Var
TRAVELERS,10/16/2014,523,12,NM,134.5795609,Var
TRAVELERS,10/16/2014,638,6,NJ,223.98082,Var
TRAVELERS,10/16/2014,949,12,VA,207.04333,Var
TRAVELERS,10/16/2014,1161,12,TN,253.29537,Var
TRAVELERS,10/16/2014,2148,12,TX,468.62916,Var
METLIFE,10/16/2014,495,12,TX,129.083625,Var
ASI,10/16/2014,1615,12,AZ,205.2747574,Var
FOREMOST,10/16/2014,1214,6,NY,124.031952,Var
FOREMOST,10/16/2014,1098,6,CT,112.180464,Var
FOREMOST,10/16/2014,1662,6,NY,169.803216,Var
FOREMOST,10/16/2014,1180,6,NY,120.55824,Var
FOREMOST,10/16/2014,1192,6,CT,121.784256,Var
FOREMOST,10/16/2014,995,6,GA,101.65716,Var
FOREMOST,10/16/2014,808,6,CT,82.551744,Var
FOREMOST,10/16/2014,513,6,GA,52.412184,Var
FOREMOST,10/16/2014,936,6,CT,95.629248,Var
FOREMOST,10/16/2014,749,6,NY,76.523832,Var
FOREMOST,10/16/2014,757,6,NY,77.341176,Var
FOREMOST,10/16/2014,795,6,NY,81.22356,Var
FOREMOST,10/16/2014,1514,6,CT,154.682352,Var
FOREMOST,10/16/2014,1192,6,GA,121.784256,Var
FOREMOST,10/16/2014,918,6,NY,93.790224,Var
PLYMOUTH ROCK,10/16/2014,699,6,NJ,308.00736,Var
PLYMOUTH ROCK,10/16/2014,692,6,NJ,304.92288,Var
PLYMOUTH ROCK,10/16/2014,836,6,NJ,368.37504,Var
PLYMOUTH ROCK,10/16/2014,942,6,,415.08288,Var
PLYMOUTH ROCK,10/16/2014,685,6,NJ,301.8384,Var
PLYMOUTH ROCK,10/16/2014,529,6,NJ,233.09856,Var
PLYMOUTH ROCK,10/16/2014,1073,6,NJ,472.80672,Var
PLYMOUTH ROCK,10/16/2014,595,6,NJ,262.1808,Var
PLYMOUTH ROCK,10/16/2014,1058,6,NJ,466.19712,Var
THE GENERAL,10/16/2014,579,6,,60.23619552,Var
THE GENERAL,10/16/2014,2333,12,OH,191.16602,Var
SAFECO,10/16/2014,225,12,MO,37.11940172,Var
SAFECO,10/16/2014,660,12,KS,195.5899545,Var
SAFECO,10/16/2014,133,12,OH,21.94169079,Var
SAFECO,10/16/2014,498,12,PA,147.5815112,Var
SAFECO,10/16/2014,860,12,GA,192.3965537,Var
THE GENERAL,10/16/2014,2325.9,12,TN,190.584246,Var
THE GENERAL,10/16/2014,1723,12,SC,141.18262,Var
MERCURY,10/16/2014,482,6,TX,132.57651,Var
MERCURY,10/16/2014,1298,6,TX,357.02139,Var
MERCURY,10/16/2014,621,6,TX,170.809155,Var
MERCURY,10/16/2014,727,6,TX,199.964985,Var
MERCURY,10/16/2014,1228,6,TX,337.76754,Var
MERCURY,10/16/2014,625,12,TX,107.8177083,Var
MERCURY,10/16/2014,939,6,TX,258.276645,Var
MERCURY,10/16/2014,433,6,TX,119.098815,Var
MERCURY,10/16/2014,752,6,TX,206.84136,Var
MERCURY,10/16/2014,1381,6,TX,379.850955,Var
MERCURY,10/16/2014,1081,6,TX,297.334455,Var
MERCURY,10/16/2014,559,6,TX,153.755745,Var
MERCURY,10/16/2014,279,6,TX,76.740345,Var
MERCURY,10/16/2014,315,6,TX,86.642325,Var
MERCURY,10/16/2014,249,6,TX,68.488695,Var
MERCURY,10/16/2014,565,6,TX,155.406075,Var
MERCURY,10/16/2014,1056,6,TX,290.45808,Var
MERCURY,10/16/2014,1099,6,,302.285445,Var
MERCURY,10/16/2014,507,6,TX,139.452885,Var
MERCURY,10/16/2014,832,6,TX,228.84576,Var
MERCURY,10/16/2014,666,6,TX,183.18663,Var
MERCURY,10/16/2014,266,6,TX,73.16463,Var
MERCURY,10/16/2014,765,6,TX,210.417075,Var
MERCURY,10/16/2014,343,6,TX,94.343865,Var
MERCURY,10/16/2014,576,6,TX,158.43168,Var
MERCURY,10/16/2014,1782,6,TX,490.14801,Var
ASI,10/16/2014,1383,12,TX,175.7863712,Var
SAFECO,10/16/2014,976.9,6,SC,369.3952244,Var
SAFECO,10/16/2014,1052.3,12,GA,258.876323,Var
SAFECO,10/16/2014,408.4,6,TN,154.4283034,Var
SAFECO,10/16/2014,1384.9,12,TN,383.2184488,Var
SAFECO,10/16/2014,1228.9,12,AR,300.8531535,Var
SAFECO,10/16/2014,548.1,12,MO,151.6658472,Var
SAFECO,10/16/2014,2002.2,12,AR,554.0327664,Var
SAFECO,10/16/2014,1226.2,6,TN,463.6630403,Var
SAFECO,10/16/2014,1160,12,CT,285.3716,Var
SAFECO,10/16/2014,2282.6,12,GA,492.071495,Var
SAFECO,10/16/2014,5029.5,12,AL,1391.723004,Var
SAFECO,10/16/2014,842.5,12,GA,43.936375,Var
SAFECO,10/16/2014,2125.9,12,OK,588.2620408,Var
SAFECO,10/16/2014,1393.9,12,MO,341.2476285,Var
SAFECO,10/16/2014,879.4,12,TN,243.3405328,Var
SAFECO,10/16/2014,1282.8,12,VA,354.9661536,Var
SAFECO,10/16/2014,1618.1,12,VA,447.7476872,Var
SAFECO,10/16/2014,975.4,12,NM,269.9048848,Var
SAFECO,10/16/2014,650.4,12,WA,179.9734848,Var
SAFECO,10/16/2014,1148.4,12,SC,281.145546,Var
SAFECO,10/16/2014,1860.6,12,GA,401.098845,Var
SAFECO,10/16/2014,1160.2,12,AR,321.0412624,Var
SAFECO,10/16/2014,2020.1,12,AL,494.5507815,Var
SAFECO,10/16/2014,3324.2,12,CO,919.8460304,Var
SAFECO,10/16/2014,598.8,12,VA,165.6951456,Var
SAFECO,10/16/2014,1281.4,12,WA,354.5787568,Var
SAFECO,10/16/2014,828.6,12,,229.2835632,Var
SAFECO,10/16/2014,1968.7,12,WV,544.7629144,Var
SAFECO,10/16/2014,663.3,6,PA,250.8136476,Var
SAFECO,10/16/2014,1965.8,12,GA,483.606458,Var
SAFECO,10/16/2014,999.9,12,KS,276.6843288,Var
SAFECO,10/16/2014,1357.2,12,MS,375.5535264,Var
SAFECO,10/16/2014,2091.1,12,CO,511.9326465,Var
SAFECO,10/16/2014,1193.7,12,,292.2356655,Var
SAFECO,10/16/2014,1582,12,GA,341.03965,Var
SAFECO,10/16/2014,2318.6,12,OK,641.5844432,Var
SAFECO,10/16/2014,1381.7,12,WV,338.2608855,Var
SAFECO,10/16/2014,787.6,12,AZ,217.9383712,Var
SAFECO,10/16/2014,711.1,12,PA,196.7699032,Var
SAFECO,10/16/2014,1055.6,12,CO,292.0971872,Var
SAFECO,10/16/2014,874.3,6,SC,73.54432369,Var
SAFECO,10/16/2014,782.2,12,GA,192.429022,Var
SAFECO,10/16/2014,930.52,12,NY,257.4860502,Var
SAFECO,10/16/2014,1625,12,AR,397.824375,Var
SAFECO,10/16/2014,870.2,12,OH,240.7947824,Var
SAFECO,10/16/2014,908.3,12,OH,251.3375096,Var
SAFECO,10/16/2014,684.36,6,NC,170.8441779,Var
SAFECO,10/16/2014,1423.3,12,GA,350.146033,Var
SAFECO,10/16/2014,1107,6,CO,93.11857065,Var
SAFECO,10/16/2014,1305.8,12,SC,319.679427,Var
SAFECO,10/16/2014,824.3,12,CO,228.0937016,Var
SAFECO,10/16/2014,1568.6,12,TN,384.016809,Var
SAFECO,10/16/2014,1919.6,12,CT,413.81777,Var
SAFECO,10/16/2014,2174.2,12,CT,468.703165,Var
SAFECO,10/16/2014,857.3,12,CA,184.8124475,Var
SAFECO,10/16/2014,1101.4,12,AZ,304.7705968,Var
SAFECO,10/16/2014,1188,12,GA,256.1031,Var
SAFECO,10/16/2014,964.8,6,CT,212.6426918,Var
SAFECO,10/16/2014,901.6,12,TX,249.4835392,Var
SAFECO,10/16/2014,1959.1,12,TX,542.1064792,Var
SAFECO,10/16/2014,1008.8,12,TX,279.1470656,Var
SAFECO,10/16/2014,3926.1,12,TX,961.1681715,Var
SAFECO,10/16/2014,1431.9,12,TX,396.2239128,Var
SAFECO,10/16/2014,1986.2,12,TX,103.58033,Var
SAFECO,10/16/2014,2682.7,12,TX,742.3352824,Var
SAFECO,10/16/2014,835,12,TX,231.05452,Var
SAFECO,10/16/2014,1475.4,12,TX,408.2608848,Var
SAFECO,10/16/2014,1272.7,12,TX,352.1713624,Var
MERCURY,10/17/2014,926,12,CA,159.7427167,Var
HARTFORD,10/17/2014,407,6,TX,115.8996725,Var
HARTFORD,10/17/2014,540,6,TX,153.7735212,Var
HARTFORD,10/17/2014,973,6,TX,277.0771039,Var
HARTFORD,10/17/2014,687,6,TX,195.6340909,Var
HARTFORD,10/17/2014,691,6,AZ,196.773154,Var
HARTFORD,10/17/2014,496,6,AZ,141.2438269,Var
HARTFORD,10/17/2014,1180,12,VA,304.0014333,Var
HARTFORD,10/17/2014,733,12,OR,188.8415683,Var
HARTFORD,10/17/2014,658,6,AL,187.3758832,Var
HARTFORD,10/17/2014,378,6,UT,107.6414648,Var
HARTFORD,10/17/2014,139,6,OH,39.58244342,Var
HARTFORD,10/17/2014,832,6,OH,236.925129,Var
HARTFORD,10/17/2014,1171,12,SC,301.6827783,Var
HARTFORD,10/17/2014,241,12,IN,61.35096833,Var
MERCURY,10/17/2014,1179,12,FL,203.387325,Var
MERCURY,10/17/2014,1513.42,12,,261.0775618,Var
MERCURY,10/17/2014,1042,6,TX,286.60731,Var
MERCURY,10/17/2014,404,6,TX,111.12222,Var
MERCURY,10/17/2014,1675,6,TX,460.717125,Var
21ST,10/17/2014,434,6,,220,Fixed
21ST,10/17/2014,489.78,6,GA,220,Fixed
21ST,10/17/2014,531,6,MO,220,Fixed
21ST,10/17/2014,629.48,6,MO,220,Fixed
21ST,10/17/2014,804.07,6,TX,220,Fixed
21ST,10/17/2014,1022.18,6,TX,220,Fixed
21ST,10/17/2014,330,6,OH,220,Fixed
21ST,10/17/2014,316.35,6,,220,Fixed
21ST,10/17/2014,636,6,OH,220,Fixed
21ST,10/17/2014,329.03,6,NM,220,Fixed
21ST,10/17/2014,985,6,TX,220,Fixed
21ST,10/17/2014,274.61,6,,220,Fixed
21ST,10/17/2014,503.9,6,GA,220,Fixed
21ST,10/17/2014,1230,6,CT,220,Fixed
21ST,10/17/2014,682,6,GA,220,Fixed
21ST,10/17/2014,476.21,6,GA,220,Fixed
21ST,10/17/2014,796,6,PA,220,Fixed
21ST,10/17/2014,799,6,GA,220,Fixed
21ST,10/17/2014,878,6,GA,220,Fixed
21ST,10/17/2014,445,6,GA,220,Fixed
21ST,10/17/2014,1281,6,NM,220,Fixed
21ST,10/17/2014,405.78,6,GA,220,Fixed
21ST,10/17/2014,830,6,GA,220,Fixed
21ST,10/17/2014,362.69,6,PA,220,Fixed
21ST,10/17/2014,227,6,,220,Fixed
21ST,10/17/2014,794.57,6,GA,220,Fixed
21ST,10/17/2014,825.41,6,OH,220,Fixed
21ST,10/17/2014,364.53,6,TX,220,Fixed
21ST,10/17/2014,384.2,6,WA,220,Fixed
21ST,10/17/2014,1053.57,6,TX,220,Fixed
21ST,10/17/2014,357,6,,220,Fixed
21ST,10/17/2014,602,6,,220,Fixed
21ST,10/17/2014,544,6,NM,220,Fixed
21ST,10/17/2014,782,6,GA,220,Fixed
21ST,10/17/2014,314.36,6,GA,220,Fixed
21ST,10/17/2014,172.64,6,TX,220,Fixed
21ST,10/17/2014,742,6,,220,Fixed
21ST,10/17/2014,814.32,6,GA,220,Fixed
21ST,10/17/2014,426,6,GA,220,Fixed
21ST,10/17/2014,1764,6,MO,220,Fixed
21ST,10/17/2014,399.91,6,,220,Fixed
21ST,10/17/2014,396.31,6,MO,220,Fixed
MERCURY,10/17/2014,574,6,NY,157.88157,Var
MERCURY,10/17/2014,818,6,NY,224.99499,Var
MERCURY,10/17/2014,448,6,,123.22464,Var
MERCURY,10/17/2014,548,6,,150.73014,Var
MERCURY,10/17/2014,789,6,VA,217.018395,Var
MERCURY,10/17/2014,856,6,VA,235.44708,Var
MERCURY,10/17/2014,934,12,VA,161.1227833,Var
MERCURY,10/17/2014,1099,12,VA,189.5866583,Var
MERCURY,10/17/2014,1123,12,VA,193.7268583,Var
MERCURY,10/17/2014,1962,12,,338.46135,Var
MERCURY,10/17/2014,899,12,VA,155.0849917,Var
ESURANCE,10/17/2014,1571,6,AR,475,Fixed
ESURANCE,10/17/2014,814,6,GA,475,Fixed
ESURANCE,10/17/2014,1352,6,TN,350,Fixed
ESURANCE,10/17/2014,441,6,AR,325,Fixed
ESURANCE,10/17/2014,388,6,KS,475,Fixed
ESURANCE,10/17/2014,320,6,AR,350,Fixed
ESURANCE,10/17/2014,557,6,IL,325,Fixed
ESURANCE,10/17/2014,709.25,6,MS,475,Fixed
ESURANCE,10/17/2014,576,6,TX,475,Fixed
ESURANCE,10/17/2014,674,6,KS,475,Fixed
PROGRESSIVE,10/17/2014,1675,6,NY,142.5425,Var
PROGRESSIVE,10/17/2014,691,6,OK,123.4126,Var
PROGRESSIVE,10/17/2014,302,6,OH,25.7002,Var
PROGRESSIVE,10/17/2014,592,6,PA,237.3051418,Var
PROGRESSIVE,10/17/2014,568,6,PA,182.8486118,Var
PROGRESSIVE,10/17/2014,559,6,SC,145.100748,Var
PROGRESSIVE,10/17/2014,1138,6,PA,295.392936,Var
PROGRESSIVE,10/17/2014,881,6,SC,228.682932,Var
PROGRESSIVE,10/17/2014,531,6,PA,45.1881,Var
PROGRESSIVE,10/17/2014,448,6,AZ,38.1248,Var
PROGRESSIVE,10/17/2014,474,6,MN,123.037128,Var
PROGRESSIVE,10/17/2014,394,6,OH,102.271368,Var
PROGRESSIVE,10/17/2014,596,6,OH,50.7196,Var
PROGRESSIVE,10/17/2014,261,6,OK,46.6146,Var
PROGRESSIVE,10/17/2014,316,6,TN,101.7256361,Var
PROGRESSIVE,10/17/2014,1432,6,SC,460.9845282,Var
PROGRESSIVE,10/17/2014,976,6,SC,314.1905723,Var
PROGRESSIVE,10/17/2014,419,6,OH,74.8334,Var
PROGRESSIVE,10/17/2014,434,6,,36.9334,Var
PROGRESSIVE,10/17/2014,286,6,TN,92.06813902,Var
PROGRESSIVE,10/17/2014,1460,6,NJ,260.756,Var
PROGRESSIVE,10/17/2014,828,6,AZ,147.8808,Var
PROGRESSIVE,10/17/2014,1033,6,,268.137876,Var
PROGRESSIVE,10/17/2014,572,6,MO,184.136278,Var
PROGRESSIVE,10/17/2014,363,6,AR,30.8913,Var
PROGRESSIVE,10/17/2014,600,6,OR,51.06,Var
PROGRESSIVE,10/17/2014,236,6,OH,61.258992,Var
PROGRESSIVE,10/17/2014,946,6,TN,304.5330752,Var
PROGRESSIVE,10/17/2014,446,6,TN,178.7805629,Var
PROGRESSIVE,10/17/2014,530,6,UT,94.658,Var
PROGRESSIVE,10/17/2014,248,6,PA,44.2928,Var
PROGRESSIVE,10/17/2014,1560,6,AR,132.756,Var
PROGRESSIVE,10/17/2014,584,6,MS,104.3024,Var
PROGRESSIVE,10/17/2014,191,6,TN,61.48606487,Var
PROGRESSIVE,10/17/2014,1240,6,PA,399.1765468,Var
PROGRESSIVE,10/17/2014,1111,6,AR,357.6493093,Var
PROGRESSIVE,10/17/2014,472,6,AL,151.944621,Var
PROGRESSIVE,10/17/2014,754,6,IN,134.6644,Var
PROGRESSIVE,10/17/2014,449,6,OK,38.2099,Var
PROGRESSIVE,10/17/2014,2052,6,OK,366.4872,Var
PROGRESSIVE,10/17/2014,1724,6,OK,146.7124,Var
PROGRESSIVE,10/17/2014,388.99,6,,125.2223266,Var
PROGRESSIVE,10/17/2014,358.5,6,CO,93.056562,Var
PROGRESSIVE,10/17/2014,366,6,OK,95.003352,Var
PROGRESSIVE,10/17/2014,515,6,AK,165.7870336,Var
PROGRESSIVE,10/17/2014,217,6,AL,18.4667,Var
PROGRESSIVE,10/17/2014,290,6,AL,75.27588,Var
PROGRESSIVE,10/17/2014,878,6,MS,227.904216,Var
PROGRESSIVE,10/17/2014,289,6,UT,24.5939,Var
PROGRESSIVE,10/17/2014,153,6,WI,27.3258,Var
PROGRESSIVE,10/17/2014,359,6,KS,93.186348,Var
PROGRESSIVE,10/17/2014,1725,6,CT,146.7975,Var
PROGRESSIVE,10/17/2014,519,6,PA,92.6934,Var
PROGRESSIVE,10/17/2014,1394,6,PA,558.7894723,Var
PROGRESSIVE,10/17/2014,833,6,AR,333.9107822,Var
TRAVELERS,10/17/2014,691,12,VA,150.75547,Var
TRAVELERS,10/17/2014,1800,12,SC,392.706,Var
TRAVELERS,10/17/2014,2159,12,TX,471.02903,Var
TRAVELERS,10/17/2014,455,12,OK,99.26735,Var
TRAVELERS,10/17/2014,960,12,SC,209.4432,Var
TRAVELERS,10/17/2014,896,12,MN,195.48032,Var
TRAVELERS,10/17/2014,681,12,OR,148.57377,Var
TRAVELERS,10/17/2014,350,12,OR,90.06280365,Var
TRAVELERS,10/17/2014,1695,12,OK,369.79815,Var
TRAVELERS,10/17/2014,1115,12,OK,286.9143602,Var
TRAVELERS,10/17/2014,2548,12,NJ,555.89716,Var
TRAVELERS,10/17/2014,1052,12,TX,229.51484,Var
TRAVELERS,10/17/2014,964,12,WI,210.31588,Var
TRAVELERS,10/17/2014,2080,12,MN,453.7936,Var
TRAVELERS,10/17/2014,641,12,NJ,139.84697,Var
TRAVELERS,10/17/2014,2375.16,12,,518.1886572,Var
TRAVELERS,10/17/2014,898,6,NJ,315.2582702,Var
TRAVELERS,10/17/2014,4222,12,CT,921.11374,Var
TRAVELERS,10/17/2014,1974,12,CT,430.66758,Var
TRAVELERS,10/17/2014,1728,12,TX,376.99776,Var
TRAVELERS,10/17/2014,2744,12,MO,598.65848,Var
METLIFE,10/17/2014,1658,12,OK,432.36495,Var
ASI,10/17/2014,709,12,AL,90.11752508,Var
FOREMOST,10/17/2014,1586,6,CT,162.038448,Var
FOREMOST,10/17/2014,1343,6,CT,137.211624,Var
FOREMOST,10/17/2014,564,6,,57.622752,Var
FOREMOST,10/17/2014,1349,6,NY,137.824632,Var
FOREMOST,10/17/2014,641,6,GA,65.489688,Var
FOREMOST,10/17/2014,770,6,GA,78.66936,Var
FOREMOST,10/17/2014,850,6,CT,86.8428,Var
FOREMOST,10/17/2014,710,6,NY,72.53928,Var
FOREMOST,10/17/2014,2640,6,NY,269.72352,Var
FOREMOST,10/17/2014,1247,6,CT,127.403496,Var
FOREMOST,10/17/2014,933.4,6,NY,95.3636112,Var
FOREMOST,10/17/2014,2341.28,6,CT,239.203895,Var
PLYMOUTH ROCK,10/17/2014,1146,6,AR,504.97344,Var
PLYMOUTH ROCK,10/17/2014,1001,6,NJ,441.08064,Var
PLYMOUTH ROCK,10/17/2014,867,6,NJ,382.03488,Var
PLYMOUTH ROCK,10/17/2014,343,6,NJ,151.13952,Var
PLYMOUTH ROCK,10/17/2014,1000,6,NJ,440.64,Var
PLYMOUTH ROCK,10/17/2014,1242,6,NJ,547.27488,Var
PLYMOUTH ROCK,10/17/2014,1165,6,,513.3456,Var
PLYMOUTH ROCK,10/17/2014,1211,6,NJ,533.61504,Var
PLYMOUTH ROCK,10/17/2014,409,6,NJ,180.22176,Var
PLYMOUTH ROCK,10/17/2014,608,6,NJ,267.90912,Var
PLYMOUTH ROCK,10/17/2014,3035,6,,1337.3424,Var
PLYMOUTH ROCK,10/17/2014,615,6,NJ,270.9936,Var
PLYMOUTH ROCK,10/17/2014,1146,6,,504.97344,Var
PLYMOUTH ROCK,10/17/2014,364,6,NJ,160.39296,Var
PLYMOUTH ROCK,10/17/2014,2141,6,NJ,943.41024,Var
THE GENERAL,10/17/2014,440,6,IN,45.7753472,Var
THE GENERAL,10/17/2014,602,12,,49.32788,Var
THE GENERAL,10/17/2014,758,6,OH,78.85843904,Var
THE GENERAL,10/17/2014,1269,12,OH,103.98186,Var
ASI,10/17/2014,799,12,OH,101.5569852,Var
SAFECO,10/17/2014,955,12,NY,283.0127372,Var
SAFECO,10/17/2014,1610,12,MN,477.1209497,Var
THE GENERAL,10/17/2014,2418,12,TN,198.13092,Var
THE GENERAL,10/17/2014,2260,12,,185.1844,Var
THE GENERAL,10/17/2014,573,6,PA,59.61198624,Var
THE GENERAL,10/17/2014,2768,12,,226.80992,Var
THE GENERAL,10/17/2014,1206,12,,98.81964,Var
THE GENERAL,10/17/2014,2099,12,,171.99206,Var
MERCURY,10/17/2014,423,6,TX,116.348265,Var
MERCURY,10/17/2014,736,12,TX,126.9661333,Var
MERCURY,10/17/2014,806,6,TX,221.69433,Var
MERCURY,10/17/2014,262,6,TX,72.06441,Var
MERCURY,10/17/2014,458,6,TX,125.97519,Var
MERCURY,10/17/2014,706,6,,194.18883,Var
MERCURY,10/17/2014,443,6,TX,121.849365,Var
MERCURY,10/17/2014,895,6,TX,246.174225,Var
MERCURY,10/17/2014,802,6,TX,220.59411,Var
MERCURY,10/17/2014,1125,6,TX,309.436875,Var
MERCURY,10/17/2014,576,6,TX,158.43168,Var
MERCURY,10/17/2014,586,6,TX,161.18223,Var
MERCURY,10/17/2014,546,6,TX,150.18003,Var
MERCURY,10/17/2014,1100,6,TX,302.5605,Var
MERCURY,10/17/2014,1172,6,TX,322.36446,Var
MERCURY,10/17/2014,318,6,TX,87.46749,Var
MERCURY,10/17/2014,754,6,TX,207.39147,Var
MERCURY,10/17/2014,560,6,TX,154.0308,Var
MERCURY,10/17/2014,465,6,TX,127.900575,Var
MERCURY,10/17/2014,381,6,,104.795955,Var
MERCURY,10/17/2014,735,6,TX,202.165425,Var
MERCURY,10/17/2014,1305,6,TX,358.946775,Var
MERCURY,10/17/2014,398,6,TX,109.47189,Var
MERCURY,10/17/2014,470,6,TX,129.27585,Var
MERCURY,10/17/2014,2289,6,TX,629.600895,Var
MERCURY,10/17/2014,460,6,TX,126.5253,Var
MERCURY,10/17/2014,541,6,TX,148.804755,Var
MERCURY,10/17/2014,964,6,TX,265.15302,Var
MERCURY,10/17/2014,996,6,TX,273.95478,Var
MERCURY,10/17/2014,453,6,TX,124.599915,Var
MERCURY,10/17/2014,641,6,TX,176.310255,Var
SAFECO,10/17/2014,236,12,TX,48.48961394,Var
SAFECO,10/17/2014,561,12,WA,155.235432,Var
SAFECO,10/17/2014,445.16,6,NY,37.44594662,Var
SAFECO,10/17/2014,1334.6,12,OH,326.730099,Var
SAFECO,10/17/2014,1145.8,12,TN,317.0566096,Var
SAFECO,10/17/2014,980.1,12,WV,239.9431815,Var
SAFECO,10/17/2014,2652,12,TN,733.840224,Var
SAFECO,10/17/2014,956.6,12,OH,264.7026992,Var
SAFECO,10/17/2014,1713,12,VA,474.007656,Var
SAFECO,10/17/2014,650.5,12,SC,180.001156,Var
SAFECO,10/17/2014,1048.3,12,GA,257.892283,Var
SAFECO,10/17/2014,3246.2,12,WV,898.2624944,Var
SAFECO,10/17/2014,1135.1,12,OH,277.8895065,Var
SAFECO,10/17/2014,1135.9,12,OH,314.3171608,Var
SAFECO,10/17/2014,1580.2,12,CO,437.2603024,Var
SAFECO,10/17/2014,1547.3,12,OH,428.1564776,Var
SAFECO,10/17/2014,1377.5,12,WV,381.17078,Var
SAFECO,10/17/2014,1821.4,12,,445.906041,Var
SAFECO,10/17/2014,668.6,12,GA,164.482286,Var
SAFECO,10/17/2014,3442.5,12,KS,842.7756375,Var
SAFECO,10/17/2014,1902.2,12,PA,526.3615664,Var
SAFECO,10/17/2014,1812.3,12,OH,443.6782245,Var
SAFECO,10/17/2014,367.1,6,TN,91.64313768,Var
SAFECO,10/17/2014,1597.7,12,AR,391.1409255,Var
SAFECO,10/17/2014,1564.72,12,NY,383.0669268,Var
SAFECO,10/17/2014,1207.3,12,OK,334.0743976,Var
SAFECO,10/17/2014,753.4,12,OK,208.4748208,Var
SAFECO,10/17/2014,940.6,12,MS,260.2753072,Var
SAFECO,10/17/2014,1926.8,12,SC,533.1686816,Var
SAFECO,10/17/2014,1816,12,CT,446.75416,Var
SAFECO,10/17/2014,668.8,12,SC,163.732272,Var
SAFECO,10/17/2014,1532.82,12,NY,424.1496878,Var
SAFECO,10/17/2014,1840.7,12,UT,509.3437784,Var
SAFECO,10/17/2014,553.8,12,MS,153.2431056,Var
SAFECO,10/17/2014,1500.4,12,WV,367.320426,Var
SAFECO,10/17/2014,868.4,12,WA,240.2967008,Var
SAFECO,10/17/2014,1077.22,12,NY,263.7196143,Var
SAFECO,10/17/2014,1275.9,12,GA,313.884159,Var
SAFECO,10/17/2014,1998.3,12,CT,491.601783,Var
SAFECO,10/17/2014,1745.6,12,CT,376.30772,Var
SAFECO,10/17/2014,839.9,12,KS,232.4104088,Var
SAFECO,10/17/2014,915.9,12,TN,253.4405208,Var
SAFECO,10/17/2014,2880.5,12,GA,620.9637875,Var
SAFECO,10/17/2014,1033.3,12,MO,285.9265096,Var
SAFECO,10/17/2014,1468.4,12,TN,406.3239008,Var
SAFECO,10/17/2014,375.03,6,,141.8101044,Var
SAFECO,10/17/2014,927.1,12,OH,256.5396952,Var
SAFECO,10/17/2014,2346.7,12,OK,649.3600504,Var
SAFECO,10/17/2014,1092.1,12,TN,302.1971752,Var
SAFECO,10/17/2014,1363.4,12,,333.780771,Var
SAFECO,10/17/2014,1866.2,12,GA,402.306065,Var
SAFECO,10/17/2014,663.8,12,OH,183.6814256,Var
SAFECO,10/17/2014,503.3,12,MS,139.2691496,Var
SAFECO,10/17/2014,1168.9,12,VA,323.4486568,Var
SAFECO,10/17/2014,1247,12,AR,305.284305,Var
SAFECO,10/17/2014,1144.1,12,CO,316.5861992,Var
SAFECO,10/17/2014,1172,12,WI,324.306464,Var
SAFECO,10/17/2014,1127.3,12,PA,311.9374376,Var
SAFECO,10/17/2014,941.6,12,TN,260.5520192,Var
SAFECO,10/17/2014,1620.6,12,FL,398.683806,Var
SAFECO,10/17/2014,2011.4,12,GA,433.607555,Var
SAFECO,10/17/2014,1156.9,6,AZ,97.31605636,Var
SAFECO,10/17/2014,426.7,6,OH,106.5217294,Var
SAFECO,10/17/2014,1367,12,MO,378.265304,Var
SAFECO,10/17/2014,905.9,12,CO,221.7779085,Var
SAFECO,10/17/2014,1148.46,12,NY,281.1602349,Var
SAFECO,10/17/2014,1065.5,12,CO,294.836636,Var
SAFECO,10/17/2014,1340.5,12,OK,370.932436,Var
SAFECO,10/17/2014,1055.3,12,AL,292.0141736,Var
